ID,Punto de Medición,Estado,MES,Año,hora,Caudal acumulado anterior                       (m3 ) ,Caudal acumulado                   (m3 ),Lectura registro                ( L/s),"M1, M2, M3, M4, M5, MA"
SIM17,Cementerio  Bunt Planet,Problema de energización,6,2022,AM,"789,819.43","803,966.64",7.39, MA 
SIM18,Mas x Menos Bunt Planet,Punto Sin Macromedidor,6,2022,AM,"1,207,406.20","1,232,859.30",13.36, MA 
SIM19,Cruz Roja Bunt Planet,Estación Fuera de Operación Definitiva,6,2022,,,,, MA 
SIM53,Entrada al Tanque San Francisco (T4),,6,2022,AM,"495,694.00","518,901.00",, MA 
SRM01,"Presa Concepción Cieneguita  (Cienega Norte) (4"")",,6,2022,AM,"2,154,075.00","2,220,143.00",27.43, MA 
SRM48,Caja a la Entrada de T Cienega Sur Nuevo,,6,2022,AM,"1,313,061.00","1,364,177.00",19.51, MA 
SRM49,Caja a la Entrada de T Cienega Sur Nuevo,,6,2022,AM,"57,991.00","89,943.00",16.7, MA 
SRM11,Tanque ChamacoEntrada del Tirol,,6,2022,AM,"1,915,174.00","2,073,058.00",62.2, MA 
SRM07,"Cond Tanq. Chaverri T 90 Linea I  (8"")",Macromedidor en mal estado,6,2022,AM,,,, MA 
SRM08,"Cond Tanq. Chaverri T90 Linea II  (8"")",Macromedidor en mal estado,6,2022,AM,"9,713,804.00","9,938,459.00",104.34, MA 
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",Linea fuera de Operación,6,2022,AM,,"579,299.89",, MA 
SRM42,"Conducción Noventa a Palmar (4"")",,6,2022,AM,"832,165.51","861,960.74",14.68, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",Punto Sin Macromedidor,6,2022,,,,, MA 
,Iris Hernández,,6,2022,AM,"94,408.00","160,309.00",15.95, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,6,2022,,,,, M2  
BM09,Botho Steinvorth,,6,2022,AM,"2,872,877.70","2,977,055.50",35.7, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,6,2022,AM,"1,846,252.00","1,877,750.00",17.54, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",Macromedidor en mal estado,6,2022,AM,"4,855,063.10","5,123,958.90",93.93, MA 
,29 Catarata,,6,2022,AM,"41,547.00","88,880.00",17.12,
BM16,Arrieta,,6,2022,AM,"3,459,177.40","3,548,002.70",36.15, MA 
,La Anexa,Datos Irregulares,6,2022,AM,"101,147.00","109,722.00",0.71, M1 
BM03,Carlos Steinvorth,,6,2022,AM,"3,226,963.30","3,316,547.50",30.31, MA 
,29 A,Datos Irregulares,6,2022,AM,,"93,025.00",, M1 
BM14,Sacramento,,6,2022,AM,"3,068,050.00","3,139,688.00",29.21, MA 
BM19,"Marin Cañas Electromagnetico 2""",,6,2022,AM,"192,737.00","194,817.00",0.8, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,6,2022,AM,"9,747,511.00","10,105,372.00",138.03, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,6,2022,AM,"5,944,536.00","6,001,549.00",16.51, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,6,2022,AM,"7,946,942.00","7,973,372.00",10.3, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,6,2022,AM,"6,811,148.00","7,158,595.00",143.4, MA 
BM10,"El Higueron 8""  (6"")",,6,2022,AM,"6,086,121.00","6,225,710.00",70.09, MA 
BM11,"LA Gemela #1 (6"")",,6,2022,AM,"3,895,228.00","3,917,322.00",8.53, MA 
BM12,"LA Gemela #2  (6"")",,6,2022,AM,"5,705,988.00","5,830,948.00",128.89, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),Macromedidor en mal estado,6,2022,AM,,,107.63, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",Problema de energización,6,2022,AM,"806,892.00",,21.4, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,6,2022,AM,"1,215,797.00","1,394,655.00",69.8, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,6,2022,AM,"1,283,123.00","1,346,196.00",25.37, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,6,2022,AM,"1,113,695.00","1,170,681.00",14.81, MA 
,Mata Plátano,,6,2022,PM,"37,106.00","59,668.57",3.88,
BM25,"Sacramento 3""",,6,2022,AM,"66,825.00","76,891.00",3.13,
SPM01,"Pozo Miraflores        ( 8"" )",Pozo Apagado,7,2022,AM,"2,999,805.00","3,000,556.00", FOP , MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,7,2022,PM,"4,884,444.00","5,019,713.00",50.4, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",Pozo Apagado,7,2022,PM,"4,293.00","4,293.00", FOP , MA 
HM07,Pozo Real Santamaría,,7,2022,PM,"16,188,346.00","16,383,779.00",71.52, MA 
HM17,"Pozo Trebol (8"")",,7,2022,PM,"3,641,865.00","3,834,004.00",68.5, MA 
HM10,"Pozo Monte Alegre ( 6"" )",,7,2022,PM,"787,954.21","825,447.64",25.66, MA 
HM12,"Pozo Granada ( 10"" )",,7,2022,PM,"3,646,535.00","3,739,501.00",36.4, MA 
HM21,"Pozo Aurora II  ( 4"" )",Pozo Apagado,7,2022,PM,"156,663.30","156,663.30", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",Pozo Apagado,7,2022,PM,"135,775.73","135,775.73", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,7,2022,PM,"415,930.45","545,018.61",49.3, MA 
HM22,Medidor para venta de agua Malinches,,7,2022,PM,960.67,960.67, FOP , MA 
HM14,"Pozo Malinches  II  ( 6"" )",Macromedidor en mal estado,7,2022,PM,"140,467.00","365,488.22",81.4, M2 
HM06,"Pozo San Vicente        ( 10"" )",Pozo Apagado,7,2022,AM,"7,514,750.00","7,651,318.00", FOP , MA 
HM18,"Pozo Claretiano         ( 10"" )",,7,2022,PM,"5,397,256.00","5,529,638.00",48, MA 
HM19,"Pozo Boruca (8"")",,7,2022,PM,"95,408.60","159,967.94",23.27, MA 
BM17,"Pozo Malinches Real  ( 8"" )",Pozo Apagado,7,2022,PM,"1,171,998.00","1,173,275.00", FOP , MA 
SRM28,"Pozo Los Altos I  ( 4"" )",Pozo Apagado,7,2022,AM,"302,506.00","303,058.00", FOP , MA 
SRM37,Pozo Los Altos II ,Pozo Apagado,7,2022,AM,"1,765,537.30","1,767,096.10", FOP , MA 
SRM32,"Pozo Matasanos      ( 4"" )",Pozo Apagado,7,2022,AM,"443,365.00","443,894.00", FOP , MA 
SRM26,Pozo Joya 1,Pozo Apagado,7,2022,AM,"504,250.92","504,358.43", FOP , MA 
SRM33,Pozo Joya 2,Pozo Apagado,7,2022,AM,"3,315,386.90","3,315,609.50", FOP , MA 
HM13,"Pozo Joya 3 (8"")",Pozo Apagado,7,2022,AM,"2,348,345.00","2,348,885.00", FOP , MA 
SRM30,"Pozo Santiago ( 8"" )",Pozo Apagado,7,2022,AM,"1,535,442.00","1,542,826.00", FOP , MA 
SRM25,"Pozo Burial       ( 6"" )",Pozo Apagado,7,2022,AM,"1,540,507.00","1,544,028.00", FOP , MA 
SRM12,"Pozo Highland Ranch (3"")",Pozo Apagado,7,2022,AM,"607,532.00","612,217.00", FOP , MA 
SIM04,Pozo Santa Cruz I        ,Pozo Apagado,7,2022,AM,"1,631,622.00","1,643,329.00", FOP , MA 
SIM02,"Pozo Santa Cruz II (8"")",Macromedidor en mal estado,7,2022,AM,,, FOP , MA 
SIM12,"Mata Maiz Llegando al Tanque 4""",,7,2022,AM,"611,471.00","641,560.00",13.23, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,7,2022,AM,"888,364.00","910,866.00",8.25, MA 
SIM14,"Limpieza Tanque Victoria 8""",,7,2022,,"19,829.00",,, MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,7,2022,,"1,344,247.00",,, MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,7,2022,AM,"823,384.52","828,864.28", FOP , MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,7,2022,AM,"18,157.91","18,458.76",0.1, MA 
PEND,"Victoria Saliendo 6""",,7,2022,AM,"1,522,589.00","1,567,634.00",35.14, MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,7,2022,AM,"260,076.00","265,057.00",, MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,7,2022,AM,"464,033.90","475,571.44",5.79, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,7,2022,AM,"453,303.18","463,420.95",8.38, MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,7,2022,AM,"183,648.00","194,088.00",2.34, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,7,2022,AM,"23,750.00","30,644.00",5.97, MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),Estación Fuera de Operación Definitiva,7,2022,,,,, MA 
